39.807	59.798	55.417	51.219	50.600	48.278	50.870	65.421	8.879	43.241	32.090	78.840	64.217	34.110	42.829	14.885	31.575	42.600	62.318	43.798	52.159
40.615	60.671	56.869	52.731	51.800	49.161	52.859	66.355	9.052	45.628	33.039	79.107	65.350	35.465	44.008	15.778	32.613	43.507	63.787	44.542	53.651
42.309	61.248	58.039	54.037	52.967	50.133	54.572	67.196	9.729	48.287	34.542	79.973	66.523	36.820	44.568	16.665	33.648	44.133	64.186	45.639	54.420
43.040	62.463	59.164	55.412	54.067	51.550	56.133	68.084	10.142	49.426	35.954	79.973	67.454	38.025	46.525	17.817	35.084	45.463	64.748	46.383	54.866
44.080	63.336	60.542	57.108	55.367	53.120	57.861	68.907	10.844	52.301	37.041	80.873	68.324	39.907	47.578	18.721	36.332	46.242	65.981	47.871	55.707
45.620	63.804	62.035	58.323	56.767	53.831	58.672	69.738	11.015	53.386	38.568	81.273	69.052	41.338	48.813	19.146	37.394	46.907	67.342	48.106	56.760
46.929	64.115	63.216	59.262	58.200	54.236	59.743	70.374	11.637	54.255	40.303	81.974	69.578	42.468	49.717	19.838	38.250	48.070	67.922	48.458	56.876
47.968	64.895	64.300	59.652	58.667	55.611	61.334	70.832	12.262	55.611	41.738	81.707	69.619	42.844	51.068	21.517	39.725	49.425	67.874	48.693	56.850
49.008	65.019	65.145	60.477	59.500	57.278	63.048	71.196	13.011	57.130	42.964	82.674	70.084	43.220	51.880	22.621	40.694	50.256	68.339	49.672	57.561
49.855	65.783	66.743	61.416	60.267	58.427	64.394	71.907	13.197	58.758	43.959	82.474	70.792	43.597	52.601	24.156	41.533	51.227	68.538	50.338	58.253
51.010	66.484	67.542	61.944	61.467	59.219	65.618	72.252	14.000	59.843	45.463	83.340	71.501	43.973	53.287	26.188	43.018	52.339	69.136	50.906	58.757
50.817	68.604	68.811	62.700	62.400	60.158	66.750	72.869	14.579	61.253	46.782	83.707	72.148	44.350	54.386	28.124	44.509	53.579	69.867	51.199	59.397
50.933	68.947	69.800	63.250	63.467	61.436	67.959	73.224	15.389	62.664	47.869	84.407	72.816	45.253	55.267	29.675	45.286	54.576	70.332	52.237	60.049
51.587	69.539	70.613	63.823	64.133	62.278	69.106	73.224	15.659	63.424	48.563	84.274	72.965	46.684	55.816	31.447	46.527	55.151	70.465	52.687	60.696
52.318	69.944	71.246	64.281	65.067	62.957	70.101	73.757	16.524	63.858	49.720	85.307	73.711	48.115	56.480	32.431	47.245	56.327	71.196	53.373	61.141
53.050	70.973	72.508	65.014	65.833	64.057	71.049	74.626	17.269	65.051	51.154	85.407	73.935	50.248	57.418	35.029	48.761	57.860	72.492	54.019	61.542
54.320	71.440	73.486	65.748	66.900	65.368	72.350	75.028	18.048	65.919	52.381	86.141	74.681	52.802	58.402	36.218	49.665	58.921	72.890	55.879	62.279
55.514	71.627	73.971	66.366	66.833	65.821	73.023	74.822	18.513	66.896	53.005	86.307	74.681	54.251	59.020	36.604	50.171	59.062	72.724	56.016	62.738
56.630	71.830	74.158	66.962	67.367	66.064	73.467	75.000	20.317	67.004	54.162	86.674	75.054	55.488	59.684	37.730	51.157	59.957	73.422	56.290	63.300
57.939	72.671	74.322	67.787	67.333	66.840	73.558	75.196	21.539	68.035	54.995	86.741	74.681	56.761	60.771	39.594	53.127	60.915	73.588	56.681	63.455
58.902	72.484	74.416	68.314	69.567	67.552	74.094	74.972	22.473	68.849	55.550	86.941	74.905	58.306	61.915	40.492	53.718	61.235	73.455	57.425	63.300
60.441	72.796	74.550	69.162	69.633	68.005	74.553	74.598	22.928	68.957	55.874	86.507	74.308	60.238	63.769	40.814	54.924	61.516	73.156	57.484	63.772
62.174	72.780	74.645	69.850	70.333	68.297	75.042	74.327	24.277	69.120	56.545	86.474	74.756	65.610	64.924	41.805	55.557	62.129	73.488	58.228	64.134
63.406	72.901	75.103	70.514	70.667	69.300	75.945	74.776	25.066	70.368	57.332	86.007	73.786	67.146	66.835	43.417	56.365	62.999	74.219	58.933	64.844
64.368	73.483	75.601	71.500	71.833	70.044	76.603	75.028	26.477	70.802	58.003	87.074	74.034	69.350	67.911	44.177	56.753	63.292	74.286	59.834	65.691
65.446	74.452	76.049	72.302	72.267	70.432	77.062	75.000	26.593	71.182	58.627	86.907	74.233	70.447	68.803	44.592	57.471	64.417	74.485	59.971	66.428
66.563	74.016	75.811	72.806	73.133	70.821	77.414	75.028	28.026	71.236	59.576	87.107	74.482	71.895	69.764	45.720	58.138	65.363	74.950	60.617	67.003
67.756	74.452	75.840	73.402	74.033	71.926	77.781	75.495	28.473	71.724	60.316	86.674	74.084	73.177	71.515	47.125	58.853	66.232	75.548	60.910	67.402
68.911	74.767	76.360	74.341	75.100	73.297	78.546	75.897	29.764	72.104	60.941	87.274	74.557	73.748	72.762	47.932	59.059	67.395	75.847	62.379	68.254
70.220	75.881	76.843	75.166	75.467	74.081	79.250	75.972	30.317	72.701	61.519	87.407	74.905	74.406	73.346	49.152	60.565	68.175	75.847	63.240	69.164
71.683	75.397	77.037	75.762	76.400	74.822	79.739	76.271	31.968	73.135	62.630	88.074	75.203	75.284	73.998	50.949	61.321	69.223	76.312	64.572	69.880
72.376	76.148	77.788	76.702	77.400	76.324	80.412	77.336	32.375	74.103	63.833	87.574	74.706	76.118	74.925	52.930	62.517	70.514	77.276	65.609	70.654
74.147	76.705	78.648	78.031	78.700	78.219	81.391	78.056	33.688	74.868	64.874	89.641	75.327	77.022	76.172	54.196	63.139	71.792	78.007	67.489	71.816
75.841	77.844	79.335	79.154	79.133	79.025	81.942	78.084	34.503	75.940	65.453	89.808	75.775	79.726	76.676	55.694	64.752	72.444	78.239	68.116	72.396
77.265	77.504	79.815	79.704	80.167	80.070	82.600	78.589	36.506	76.552	66.586	90.374	76.173	80.709	77.133	56.960	65.676	73.722	79.635	69.467	73.093
78.583	78.473	80.481	80.850	80.000	81.834	83.283	79.449	37.797	77.241	67.951	90.708	76.397	81.464	78.186	59.586	66.886	76.917	81.063	70.700	74.352
79.829	79.031	81.076	81.583	80.633	82.901	83.986	79.860	40.492	77.471	68.807	91.908	77.019	82.895	79.079	61.521	67.409	78.962	81.827	74.009	75.107
80.452	80.412	81.972	82.477	81.167	83.706	84.632	80.215	42.015	78.160	69.733	92.108	77.665	83.720	79.571	63.064	68.894	80.496	82.758	75.223	76.403
82.555	80.339	82.952	83.623	81.967	84.338	85.476	80.963	44.776	78.619	71.052	93.608	78.312	84.624	80.612	64.999	70.100	81.979	84.352	76.398	77.642
82.399	81.138	83.471	86.052	81.967	85.840	86.094	79.879	45.909	79.232	72.278	94.075	79.145	85.151	81.184	67.095	71.021	85.596	85.847	76.848	78.281
82.555	81.768	83.703	86.693	82.733	86.602	86.769	80.598	48.611	79.844	73.319	95.008	79.769	85.221	82.019	68.638	71.502	87.091	86.944	78.453	78.746
83.022	83.222	84.666	87.175	83.033	86.777	87.332	81.972	49.736	80.916	74.175	95.008	80.991	85.528	82.351	69.813	72.974	87.296	87.807	78.806	79.365
83.801	82.737	85.117	87.060	83.700	87.256	88.035	83.467	52.869	81.452	75.216	96.175	81.771	85.449	82.752	70.849	74.012	88.446	88.804	79.569	79.965
83.801	84.409	85.488	87.450	83.867	88.214	88.484	84.589	54.275	82.140	76.350	95.875	82.030	85.827	83.152	72.692	75.675	88.510	89.934	80.000	80.527
83.567	85.112	85.986	87.885	84.800	88.889	89.159	85.523	56.204	82.753	77.252	97.141	82.810	86.055	84.022	75.225	76.071	88.970	90.764	81.723	81.185
83.645	86.469	86.626	88.252	84.767	88.933	89.187	86.019	57.067	83.212	77.854	96.741	83.304	86.353	84.228	76.262	77.054	89.187	90.964	81.664	81.824
84.034	86.129	87.045	88.618	84.967	89.455	89.637	86.299	60.854	83.365	78.779	97.075	83.772	86.582	84.594	76.930	77.865	90.056	91.861	81.997	82.404
84.813	87.680	87.921	89.260	85.000	90.500	90.368	88.477	62.501	83.672	79.704	97.108	84.084	86.652	85.269	78.450	78.879	92.894	93.057	81.449	83.101
85.125	88.261	88.271	89.420	85.600	91.001	90.931	89.318	65.273	83.518	80.676	98.042	84.760	87.179	86.093	79.602	79.628	93.379	93.920	82.761	83.740
85.514	89.449	89.105	89.787	85.767	90.696	91.127	89.879	65.263	84.361	81.417	98.442	85.617	87.635	86.047	80.730	80.591	93.277	94.153	82.996	84.069
85.670	89.134	89.353	90.223	86.267	90.762	91.549	89.944	68.286	84.590	82.249	98.208	86.033	87.784	86.219	81.905	81.577	94.044	94.286	83.270	84.650
