0.744	21.805	41.852	0.997	6.526	4.024	4.785	3.011	30.000	0.413	577.800	282.107	3.048	0.781	6.258	26.064	60.929	4.600	3.445	0.413
0.707	20.040	39.021	1.000	6.079	3.828	4.430	2.736	30.000	0.395	591.610	264.983	2.859	0.753	5.764	24.666	58.046	4.388	3.153	0.395
0.697	17.667	36.458	1.004	5.655	3.672	4.189	2.394	30.000	0.403	574.380	265.003	2.612	0.726	5.452	22.992	57.074	4.130	2.933	0.403
0.675	18.808	38.576	1.000	5.939	3.760	4.407	2.549	28.500	0.420	588.193	274.713	2.663	0.687	5.589	24.339	56.992	4.351	3.128	0.420
0.674	20.000	41.258	0.980	6.446	3.912	4.933	2.715	30.000	0.439	645.580	290.820	2.839	0.709	5.808	26.117	58.724	4.682	3.207	0.439
0.674	18.263	38.159	0.965	5.974	3.702	4.879	2.503	30.000	0.417	638.613	279.920	2.641	0.686	5.427	24.825	57.714	4.348	2.973	0.417
0.680	18.531	38.684	0.981	6.059	3.753	4.783	2.610	30.000	0.426	653.420	297.583	2.672	0.701	5.491	25.525	57.319	4.425	2.981	0.426
0.762	17.976	37.705	0.986	5.901	3.728	4.644	2.523	30.000	0.429	663.760	300.007	2.602	0.766	5.433	25.166	56.990	4.302	2.756	0.429
0.742	16.598	34.863	0.999	5.530	3.516	4.281	2.337	30.000	0.418	637.813	293.280	2.412	0.748	5.011	24.360	56.047	3.982	2.491	0.418
0.745	16.677	34.995	1.022	5.473	3.554	4.087	2.355	30.163	0.430	628.637	292.387	2.412	0.756	4.947	24.503	56.001	3.941	2.519	0.430
0.776	18.015	38.096	1.031	5.914	3.773	4.358	2.553	32.948	0.470	664.930	297.947	2.626	0.871	5.417	26.367	58.220	4.291	2.665	0.470
0.792	18.376	39.162	1.018	6.068	3.872	4.425	2.597	35.094	0.490	680.017	303.537	2.667	0.953	5.533	26.981	59.359	4.395	2.651	0.490
0.796	18.352	39.218	0.995	6.147	3.846	4.523	2.574	35.453	0.500	765.360	302.387	2.675	0.961	5.542	27.868	63.800	4.385	2.579	0.500
0.810	18.319	39.263	0.979	6.076	3.881	4.750	2.558	36.566	0.554	861.703	299.197	2.713	1.004	5.511	30.323	67.601	4.420	2.495	0.554
0.805	17.985	39.041	0.978	6.078	3.891	4.956	2.531	36.851	0.566	839.560	291.060	2.670	1.003	5.508	31.274	67.990	4.409	2.478	0.566
0.863	17.102	36.899	0.992	5.879	3.839	4.983	2.409	37.201	0.606	862.717	293.567	2.517	1.052	5.265	31.451	68.221	4.210	2.446	0.606
0.915	17.021	36.757	1.030	5.890	3.818	4.976	2.395	37.352	0.584	882.623	285.573	2.503	1.047	5.270	34.561	68.789	4.224	2.520	0.584
0.904	16.795	36.168	1.052	6.009	4.069	4.915	2.362	37.158	0.582	886.197	275.240	2.469	1.038	5.281	38.744	68.990	4.370	2.511	0.582
0.900	16.400	35.635	1.070	6.055	4.081	4.894	2.308	36.690	0.576	882.667	266.167	2.451	1.030	5.348	39.289	83.233	4.552	2.398	0.576
0.887	15.892	34.812	1.102	6.059	4.150	4.836	2.224	36.154	0.551	878.067	247.060	2.395	1.006	5.395	40.514	82.835	4.780	2.185	0.551
0.879	14.924	32.264	1.113	5.682	4.097	4.756	2.076	36.326	0.519	861.847	237.640	2.224	0.977	5.246	40.373	80.424	4.638	1.929	0.519
0.880	14.941	32.449	1.127	5.651	4.253	4.606	2.077	37.360	0.545	862.387	220.807	2.223	0.984	5.406	44.098	80.221	4.622	1.916	0.545
0.868	14.492	31.643	1.144	5.512	4.133	4.387	2.007	36.808	0.518	837.947	192.837	2.174	0.954	5.288	45.430	75.314	4.469	1.679	0.518
0.868	13.729	29.612	1.178	5.214	3.986	4.303	1.875	36.488	0.504	832.473	190.483	2.034	0.943	5.030	45.849	70.713	4.346	1.628	0.504
0.884	13.586	29.284	1.186	5.156	3.973	4.268	1.855	36.491	0.496	839.110	201.460	2.003	0.947	5.086	47.390	69.384	4.358	1.675	0.496
0.902	13.937	30.272	1.158	5.364	3.999	4.374	1.895	37.176	0.499	847.003	217.617	2.064	0.958	5.163	49.284	66.707	4.375	1.713	0.481
0.887	13.245	29.117	1.166	5.236	3.839	4.234	1.816	36.765	0.483	816.680	218.860	1.997	0.987	5.019	49.026	66.062	4.211	1.638	0.448
0.906	12.702	28.602	1.175	5.289	3.770	4.141	1.766	37.723	0.477	820.653	238.623	1.960	1.022	4.989	49.993	66.347	4.205	1.624	0.463
0.908	12.717	28.782	1.164	5.536	3.763	4.149	1.773	39.296	0.479	824.817	243.543	1.953	1.026	4.947	49.347	67.275	4.218	1.663	0.444
0.889	12.911	29.055	1.170	5.640	3.725	4.212	1.811	42.965	0.485	851.460	232.690	1.990	1.029	4.943	49.509	70.819	4.248	1.684	0.438
0.861	12.584	28.439	1.159	5.494	3.647	4.121	1.776	43.175	0.472	843.447	220.083	1.936	1.018	4.841	49.437	72.102	4.152	1.632	0.420
0.855	13.540	30.691	1.184	5.874	3.786	4.420	1.911	45.030	0.511	906.067	210.647	2.073	1.033	5.026	51.955	76.612	4.300	1.724	0.419
0.856	14.780	33.801	1.194	6.472	4.011	4.860	2.087	49.954	0.564	1001.360	205.570	2.284	1.065	5.350	55.552	84.075	4.554	1.897	0.433
0.874	16.092	37.184	1.199	7.150	4.307	5.419	2.276	55.480	0.623	1134.090	220.000	2.526	1.135	5.684	60.591	91.142	4.877	2.034	0.481
0.875	17.099	39.791	1.212	7.635	4.559	5.808	2.433	59.558	0.666	1215.430	231.890	2.703	1.205	6.085	65.459	97.965	5.302	2.097	0.545
