-4.2572	0.0001
-3.9542	0.0012
-3.8210	0.0022
-3.7246	0.0032
-3.6240	0.0042
-3.6106	0.0052
-3.5595	0.0062
-3.5019	0.0072
-3.4571	0.0082
-3.4267	0.0092
-3.4025	0.0102
-3.3697	0.0112
-3.3309	0.0123
-3.2943	0.0133
-3.2747	0.0143
-3.2558	0.0153
-3.2271	0.0163
-3.2111	0.0173
-3.1822	0.0183
-3.1647	0.0193
-3.1445	0.0203
-3.1308	0.0213
-3.1115	0.0223
-3.0994	0.0234
-3.0886	0.0244
-3.0679	0.0254
-3.0583	0.0264
-3.0465	0.0274
-3.0343	0.0284
-3.0207	0.0294
-3.0079	0.0304
-2.9984	0.0314
-2.9914	0.0324
-2.9793	0.0334
-2.9546	0.0345
-2.9477	0.0355
-2.9365	0.0365
-2.9279	0.0375
-2.9210	0.0385
-2.9162	0.0395
-2.9063	0.0405
-2.8978	0.0415
-2.8896	0.0425
-2.8800	0.0435
-2.8695	0.0446
-2.8639	0.0456
-2.8552	0.0466
-2.8490	0.0476
-2.8424	0.0486
-2.8329	0.0496
-2.8274	0.0506
-2.8225	0.0516
-2.8108	0.0526
-2.8004	0.0536
-2.7924	0.0546
-2.7867	0.0556
-2.7774	0.0567
-2.7673	0.0577
-2.7623	0.0587
-2.7576	0.0597
-2.7494	0.0607
-2.7428	0.0617
-2.7363	0.0627
-2.7283	0.0637
-2.7215	0.0647
-2.7172	0.0657
-2.7083	0.0667
-2.7019	0.0678
-2.6981	0.0688
-2.6924	0.0698
-2.6882	0.0708
-2.6774	0.0718
-2.6713	0.0728
-2.6667	0.0738
-2.6600	0.0748
-2.6563	0.0758
-2.6528	0.0768
-2.6473	0.0779
-2.6442	0.0789
-2.6385	0.0799
-2.6303	0.0809
-2.6240	0.0819
-2.6174	0.0829
-2.6113	0.0839
-2.6085	0.0849
-2.6042	0.0859
-2.5971	0.0869
-2.5879	0.0879
-2.5804	0.0890
-2.5766	0.0900
-2.5709	0.0910
-2.5675	0.0920
-2.5600	0.0930
-2.5536	0.0940
-2.5499	0.0950
-2.5474	0.0960
-2.5418	0.0970
-2.5371	0.0980
-2.5306	0.0990
-2.5269	0.1000
-2.5254	0.1002
-2.4934	0.1082
-2.4599	0.1163
-2.4293	0.1244
-2.3973	0.1325
-2.3685	0.1405
-2.3394	0.1486
-2.3162	0.1567
